Product,Spec,Packing,Loading
,,,
Star Anise Autumn Premium,"- Flower size: 2.5cm (80% up) 
- Broken pieces: 10% max 
- Admixture: 1% max 
- Moisture: 13.5% max
- No fungus, natural color
- New crop: 2025","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise Autumn Good,"- Flower size: 2.5cm (70% up) 
- Broken pieces: 12% max 
- Admixture: 1% max 
- Moisture: 13.5% max
- No fungus, natural color
- New crop: 2025","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise Spring "Tu Quy" Premium,"- Flower size: 2 cm (80% up) 
- Broken pieces: 10% max 
- Admixture: 1% max 
- Moisture: 13.5% max 
- No fungus, natural color","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise Spring "Tu Quy" Good,"- Flower size: 2cm (70% up) 
- Broken pieces: 12% max 
- Admixture: 1% max 
- Moisture: 13.5% max
- No fungus, natural color","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise "Canh Dan" Premium,"- Flower size: 2cm (70% up) 
- Broken pieces: 12% max 
- Admixture: 1% max 
- Moisture: 13.5% max
- No fungus, natural color","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise "Canh Dan" Good,"- Flower size: 2cm (70% up) 
- Broken pieces: 12% max 
- Admixture: 1% max 
- Moisture: 13.5% max
- No fungus, natural color","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
Star Anise broken Autumn,"- Stem and seeds: 3% max
- Admixture: 1% max 
- Moisture: 13.5% max","5KG/CARTON
10KG/CARTON","6.5MT/20FT
15MT/40FT"
,,,
,,,
,,,
Green Coffee Robusta Sr13,"- Black&Broken: 2% max 
- Moisture: 12.5% max 
- Admixture: 0.5% max 
- 90% min on screen no. 13",60kg/Jute bag,"19.2MT/20FT
28MT/40FT"
Green Coffee Robusta Sr16- Cleaning,"- Black&Broken: 0.5% max 
- Moisture: 12.5% max 
- Admixture: 0.1% max 
- 90% min on screen No.18",60kg/Jute bag,"19.2MT/20FT
28MT/40FT"
Green Coffee Robusta Sr16- Wet Polished,"- Black&Broken: 0.5% max 
- Moisture: 12.5% max 
- Admixture: 0.1% max 
- 90% min on screen No.16
- Wet polished",60kg/Jute bag,"19.2MT/20FT
28MT/40FT"
Green Coffee Robusta Sr18- Cleaning,"- Black&Broken: 0.5% max 
- Moisture: 12.5% max 
- Admixture: 0.1% max 
- 90% min on screen No.18",60kg/Jute bag,"19.2MT/20FT
28MT/40FT"
Green Coffee Robusta Sr18- Wet Polished,"- Black&Broken: 0.5% max 
- Moisture: 12.5% max 
- Admixture: 0.1% max 
- 90% min on screen No.18
- Wet polished",60kg/Jute bag,"19.2MT/20FT
28MT/40FT"
,,,
,,,
High fat Desiccated Coconut Fine Grade - Premium 63% min,"- Moisture: 3% max
- FFA : 0.3% max
- Fat content: 63% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
27MT/40FT"
High fat Desiccated Coconut Fine Grade - Good 62% min,"- Moisture: 4% max
- FFA : 0.3% max
- Fat content: 62% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
26MT/40FT"
High fat Desiccated Coconut Fine Grade - Standard 60% min,"- Moisture: 4% max
- FFA : 0.3% max
- Fat content: 60% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
26MT/40FT"
High fat Desiccated Coconut Medium Grade - Premium 63% min,"- Moisture: 3% max
- FFA : 0.3% max
- Fat content: 63% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
27MT/40FT"
High fat Desiccated Coconut Medium Grade - Good 62% min,"- Moisture: 4% max
- FFA : 0.3% max
- Fat content: 63% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
26MT/40FT"
Low fat Desiccated Coconut Fine Grade,"- Moisture: 5% max
- FFA : 0.3% max
- Fat content: 30-35% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"12MT/20FT
26MT/40FT"
Low fat Desiccated Coconut Extra Fine Grade,"- Moisture: 5% max
- FFA : 0.3% max
- Fat content: 30-35% min
- SO2:100 ppm max,
- Natural white color of coconut.
- Free from E.coli or bacteria, no foreign matter.",25kg/bag1PE + 3 Krafts +1PP,"8MT/20FT
18MT/40FT"
Desiccated Coconut Chips,"- Moisture: 3.5% max
- Fat content: 63% min
- SO2 residual: 100 ppm max
- FFA: 0.3% max (as lauric acid)
- Natural White of coconut
- 100% New goods, no scraps, no yellowing",25kg/ PE bag,"9MT/20FT
21MT/40FT"
Desiccated Coconut Flakes,"- Moisture: 4.5% max
- Fat content: 63% min
- SO2 residual: 100 ppm max
- FFA: 0.3% max (as lauric acid)
- Natural White of coconut
- 100% New goods, no scraps, no yellowing",25kg/ PE bag,"9MT/20FT
21MT/40FT"
,,,
,,,
Cardamom round Shape Premium (Lao Cai),"- MOISTURE: 13.5%
- ADMIXTURE: 0.5%
- Strong smell, ROUND shape
- New Crop 2025",30kg/PP bag,"9MT/20FT
23MT/40FT"
Cardamom black Long shape,"- MOISTURE: 13.5%
- ADMIXTURE: 0.5%
- Strong smell, Long shape
- New Crop 2025",30kg/PP bag,"9MT/20FT
19MT/40FT"
